event_id,account_id,event_date,active_users,api_calls,storage_gb,projects_created,integrations_used,support_tickets,feature_a_usage,feature_b_usage,feature_c_usage,session_duration_mins,mobile_usage_mins
EVT-00057,ACC-1029,11/08/2024,150,50000,250,20,12,5,500,350,250,2400,600
EVT-00058,ACC-1029,12/08/2024,148,48000,252,8,12,0,495,345,245,2350,590
EVT-00059,ACC-1030,16/08/2024,2,110,0.35,0,1,0,7,4,0,85,21
EVT-00060,ACC-1030,08/17/2024,2,115,0.35,0,1,0,7,4,0,88,22
EVT-00061,ACC-1031,21/08/2024,8,1350,6,2,3,0,29,21,16,370,72
EVT-00062,ACC-1031,22/08/2024,8,1400,6.1,0,3,0,30,22,17,380,74
EVT-00063,ACC-1032,02/09/2024,3,190,0.7,1,1,0,14,7,2,140,35
EVT-00064,ACC-1032,03/09/2024,3,200,0.7,0,1,0,15,8,2,145,36
EVT-00065,ACC-1033,06/09/2024,7,1200,5.5,1,3,1,26,19,14,340,65
EVT-00066,ACC-1033,07/09/2024,7,1250,5.6,0,3,0,27,20,15,350,67
EVT-00067,ACC-1034,11/09/2024,23,7500,38,4,8,0,105,75,52,750,188
EVT-00068,ACC-1034,12/09/2024,22,7200,38.5,1,8,0,103,73,50,730,183
EVT-00069,ACC-1035,16/09/2024,2,70,0.15,0,0,0,3,1,0,40,10
EVT-00070,ACC-1035,17/09/2024,2,75,0.15,0,0,0,3,1,0,42,11
EVT-00071,ACC-1036,21/09/2024,9,1450,7.5,2,3,0,34,25,19,420,88
EVT-00072,ACC-1036,22/09/2024,9,1500,7.6,0,3,0,35,26,20,430,90
EVT-00073,ACC-1037,02/10/2024,0,10,0.01,0,0,0,0,0,0,5,2
EVT-00074,ACC-1037,03/10/2024,0,15,0.01,0,0,0,0,0,0,7,3
EVT-00075,ACC-1038,06/10/2024,8,1300,5.8,1,3,0,28,20,15,360,70
EVT-00076,ACC-1038,07/10/2024,8,1350,5.9,0,3,0,29,21,16,370,72
EVT-00077,ACC-1039,11/10/2024,24,8000,42,5,9,0,110,80,56,800,200
EVT-00078,ACC-1039,12/10/2024,23,7800,42.5,2,9,0,108,78,54,780,195
EVT-00079,ACC-1040,16/10/2024,3,200,0.8,1,1,0,15,8,2,150,38
EVT-00080,ACC-1040,17/10/2024,3,210,0.8,0,1,0,16,9,3,155,39
EVT-00081,ACC-1041,21/10/2024,7,1100,4.8,1,2,3,24,17,12,300,55
EVT-00082,ACC-1041,26/10/2024,0,0,0,0,0,0,0,0,0,0,0
EVT-00083,ACC-1042,26/10/2024,2,125,0.45,0,1,0,9,5,1,100,25
EVT-00084,ACC-1042,27/10/2024,2,130,0.45,0,1,0,9,5,1,105,26
EVT-00085,ACC-1043,02/11/2024,8,1400,6.2,2,3,0,31,23,17,390,76
EVT-00086,ACC-1043,03/11/2024,8,1450,6.3,0,3,0,32,24,18,400,78
EVT-00087,ACC-1044,06/11/2024,21,6500,33,3,7,0,95,65,47,680,170
EVT-00088,ACC-1044,07/11/2024,20,6300,33.5,1,7,0,93,63,45,660,165
EVT-00089,ACC-1045,11/11/2024,2,105,0.3,0,1,0,6,3,0,75,19
EVT-00090,ACC-1045,12/11/2024,2,110,0.3,0,1,0,6,3,0,78,20
