subscription_id,account_id,plan_type,status,mrr_amount,currency,start_date,end_date,trial_end_date,created_at,updated_at,billing_period,customer_segment,payment_method,discount_percentage
SUB-016,ACC-1016,Professional,active,NULL,USD,20/05/2024,NULL,27/05/2024,20/05/2024 09:00,20/05/2024 09:00,monthly,Mid-Market,paypal,15
SUB-017,ACC-1017,Starter,churned,49,USD,01/06/2024,31/07/2024,08/06/2024,01/06/2024 11:11,31/07/2024 23:59,monthly,SMB,credit_card,0
SUB-018,ACC-1018,Professional,active,299,USD,05/06/2024,NULL,12/06/2024,05/06/2024 14:45,05/06/2024 14:45,MONTHLY,Enterprise,credit_card,25
SUB-019,ACC-1019,Enterprise,active,999,USD,10/06/2024,NULL,NULL,10/06/2024 10:00,10/06/2024 10:00,monthly,Enterprise,invoice,0
SUB-020,ACC-1020,Starter,active,49,GBP,15/06/2024,NULL,22/06/2024,15/06/2024 16:30,15/06/2024 16:30,monthly,SMB,credit_card,0
SUB-003,ACC-1003,Professional,active,299,USD,20/06/2024,NULL,NULL,20/06/2024 08:30,20/06/2024 08:30,monthly,Enterprise,credit_card,0
SUB-022,ACC-1022,Starter,trial,0,USD,01/07/2024,NULL,15/07/2024,01/07/2024 12:00,01/07/2024 12:00,monthly,SMB,NULL,0
SUB-023,ACC-1023,Professional,active,299,USD,05/07/2024,NULL,12/07/2024,05/07/2024 09:15,05/07/2024 09:15,monthly,Mid-Market,credit_card,30
SUB-024,ACC-9999,Enterprise,active,999,USD,10/07/2024,NULL,NULL,10/07/2024 14:00,10/07/2024 14:00,annual,Enterprise,invoice,10
SUB-025,ACC-1025,Starter,active,49,USD,15/07/2024,NULL,22/07/2024,15/07/2024 11:30,15/07/2024 11:30,monthly,SMB,credit_card,
SUB-026,ACC-1026,Professional,pending,299,USD,20/07/2024,NULL,27/07/2024,20/07/2024 15:45,20/07/2024 15:45,monthly,Enterprise,credit_card,0
SUB-027,ACC-1027,Starter,active,49,USD,01/08/2024,NULL,08/08/2024,01/08/2024 08:00,01/08/2024 08:00,monthly,SMB,paypal,0
SUB-028,ACC-1028,Professional,active,299,USD,05/08/2024,NULL,12/08/2024,05/08/2024 10:20,05/08/2024 10:20,monthly,Mid-Market,credit_card,50
SUB-029,ACC-1029,Enterprise,active,99900,USD,10/08/2024,NULL,NULL,10/08/2024 13:00,10/08/2024 13:00,annual,Enterprise,invoice,0
SUB-030,ACC-1030,Starter,active,49,USD,15/08/2024,NULL,22/08/2024,15/08/2024 16:15,15/08/2024 16:15,monthly,SMB,credit_card,0
SUB-031,ACC-1031,Professional,active,299,USD,20/08/2024,NULL,27/08/2024,20/08/2024 09:30,20/08/2024 09:30,,Enterprise,credit_card,0
SUB-032,ACC-1032,Starter,active,49,USD,01/09/2024,NULL,08/09/2024,01/09/2024 11:00,01/09/2024 11:00,monthly,SMB,credit_card,0
SUB-033,ACC-1033,Professional,churned,299,USD,05/09/2024,05/10/2024,12/09/2024,05/09/2024 14:30,05/10/2024 23:59,monthly,Mid-Market,paypal,0
SUB-034,ACC-1034,Enterprise,active,999,USD,10/09/2024,NULL,NULL,10/09/2024 08:45,10/09/2024 08:45,annual,Enterprise,invoice,20
SUB-035,ACC-1035,Basic,active,29,USD,15/09/2024,NULL,22/09/2024,15/09/2024 12:30,15/09/2024 12:30,monthly,SMB,credit_card,0
SUB-036,ACC-1036,Professional,active,299,USD,20/09/2024,NULL,27/09/2024,20/09/2024 15:00,20/09/2024 15:00,monthly,Enterprise,credit_card,0
SUB-037,ACC-1037,Starter,trial,0,USD,01/10/2024,NULL,15/10/2024,01/10/2024 10:00,01/10/2024 10:00,monthly,SMB,,0
SUB-038,ACC-1038,Professional,active,299,USD,05/10/2024,NULL,12/10/2024,05/10/2024 09:00,05/10/2024 09:00,monthly,Mid-Market,credit_card,15
SUB-039,ACC-1039,Enterprise,active,999,USD,10/10/2024,NULL,NULL,10/10/2024 11:30,10/10/2024 11:30,annual,Enterprise,wire_transfer,0
SUB-040,ACC-1040,Starter,active,49,USD,15/10/2024,NULL,22/10/2024,15/10/2024 14:15,15/10/2024 14:15,monthly,SMB,credit_card,0
SUB-041,ACC-1041,Professional,suspended,299,USD,20/10/2024,NULL,27/10/2024,20/10/2024 16:45,25/10/2024 10:00,monthly,Enterprise,credit_card,0
SUB-042,ACC-1042,Starter,active,490,USD,25/10/2024,NULL,01/11/2024,25/10/2024 08:30,25/10/2024 08:30,monthly,SMB,paypal,0
SUB-043,ACC-1043,Professional,active,299,USD,01/11/2024,NULL,08/11/2024,01/11/2024 12:00,01/11/2024 12:00,monthly,Mid-Market,credit_card,0
SUB-044,ACC-1044,Enterprise,active,999,,05/11/2024,NULL,NULL,05/11/2024 10:30,05/11/2024 10:30,annual,Enterprise,invoice,10
SUB-045,ACC-1045,Starter,active,49,USD,10/11/2024,NULL,17/11/2025,10/11/2024 13:45,10/11/2024 13:45,monthly,SMB,credit_card,0
